,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
26,1,148,69,25,21,31,0,47,11,93.7,157.3,63.8,50.6,2191,3,2,98,0,3.03,3.39,7.6,102,5500,24,30,8558
27,-1,110,69,25,20,30,3,47,11,103.3,174.6,64.6,59.8,2535,3,2,122,2,3.34,3.46,8.5,88,5000,24,30,8921
28,3,145,69,25,21,31,1,47,11,95.9,173.2,66.3,50.2,2811,3,2,156,6,3.6,3.9,7.0,145,5000,19,24,12964
29,2,137,68,25,20,31,1,47,11,86.6,144.6,63.9,50.8,1713,3,2,92,3,2.91,3.41,9.6,58,4800,49,54,6479
30,2,137,68,25,20,31,1,47,11,86.6,144.6,63.9,50.8,1819,3,2,92,3,2.91,3.41,9.2,76,6000,31,38,6855
31,1,101,68,25,20,31,1,47,11,93.7,150.0,64.0,52.6,1837,3,2,79,3,2.91,3.07,10.1,60,5500,38,42,5399
32,1,101,68,25,20,31,1,47,11,93.7,150.0,64.0,52.6,1940,3,2,92,3,2.91,3.41,9.2,76,6000,30,34,6529
33,1,101,68,25,20,31,1,47,11,93.7,150.0,64.0,52.6,1956,3,2,92,3,2.91,3.41,9.2,76,6000,30,34,7129
34,0,110,68,25,20,30,0,47,11,96.5,163.4,64.0,54.5,2010,3,2,92,3,2.91,3.41,9.2,76,6000,30,34,7295
35,0,78,68,25,20,30,3,47,11,96.5,157.1,63.9,58.3,2024,3,2,92,3,2.92,3.41,9.2,76,6000,30,34,7295
36,0,106,68,25,20,31,1,47,11,96.5,167.5,65.2,53.3,2236,3,2,110,3,3.15,3.58,9.0,86,5800,27,33,7895
37,0,106,68,25,20,31,1,47,11,96.5,167.5,65.2,53.3,2289,3,2,110,3,3.15,3.58,9.0,86,5800,27,33,9095
38,0,85,68,25,20,30,0,47,11,96.5,175.4,65.2,54.1,2304,3,2,110,3,3.15,3.58,9.0,86,5800,27,33,8845
39,0,85,68,25,20,30,0,47,11,96.5,175.4,62.5,54.1,2372,3,2,110,3,3.15,3.58,9.0,86,5800,27,33,10295
40,0,85,68,25,20,30,0,47,11,96.5,175.4,65.2,54.1,2465,3,2,110,0,3.15,3.58,9.0,101,5800,24,28,12945
41,1,107,68,25,20,31,0,47,11,96.5,169.1,66.0,51.0,2293,3,2,110,2,3.15,3.58,9.1,100,5500,25,31,10345
42,0,99,67,25,20,30,0,45,11,94.3,170.7,61.8,53.5,2337,3,2,111,2,3.31,3.23,8.5,78,4800,24,29,6785
43,1,99,67,25,20,31,0,47,11,94.5,155.9,63.6,52.0,1874,3,2,90,2,3.03,3.11,9.6,70,5400,38,43,30000
44,0,99,67,25,20,30,0,47,11,94.5,155.9,63.6,52.0,1909,3,2,90,2,3.03,3.11,9.6,70,5400,38,43,30000
45,2,99,67,25,20,31,1,45,11,96.0,172.6,65.2,51.4,2734,3,2,119,7,3.43,3.23,9.2,90,5000,24,29,11048
46,0,145,66,25,20,30,0,45,11,113.0,199.6,69.6,52.8,4066,0,4,258,0,3.63,4.17,8.1,176,4750,15,19,32250
47,0,99,66,25,20,30,0,45,11,113.0,199.6,69.6,52.8,4066,0,4,258,0,3.63,4.17,8.1,176,4750,15,19,35550
48,0,99,66,25,20,31,0,45,11,102.0,191.7,70.6,47.8,3950,5,6,326,0,3.54,2.76,11.5,262,5000,13,17,36000
49,1,104,65,25,20,31,1,47,11,93.1,159.1,64.2,54.1,1890,3,2,91,2,3.03,3.15,9.0,68,5000,30,31,5195
50,1,104,65,25,20,31,1,47,11,93.1,159.1,64.2,54.1,1900,3,2,91,2,3.03,3.15,9.0,68,5000,31,38,6095
51,1,104,65,25,20,31,1,47,11,93.1,159.1,64.2,54.1,1905,3,2,91,2,3.03,3.15,9.0,68,5000,31,38,6795
52,1,113,65,25,20,30,0,47,11,93.1,166.8,64.2,54.1,1945,3,2,91,2,3.03,3.15,9.0,68,5000,31,38,6695
53,1,113,65,25,20,30,0,47,11,93.1,166.8,64.2,54.1,1950,3,2,91,2,3.08,3.15,9.0,68,5000,31,38,7395
54,3,150,65,25,20,31,1,45,11,95.3,169.0,65.7,49.6,2380,6,1,70,4,3.54,3.9,9.4,101,6000,17,23,10945
55,3,150,65,25,20,31,1,45,11,95.3,169.0,65.7,49.6,2380,6,1,70,4,3.54,3.9,9.4,101,6000,17,23,11845
56,3,150,65,25,20,31,1,45,11,95.3,169.0,65.7,49.6,2385,6,1,70,4,3.54,3.9,9.4,101,6000,17,23,13645
57,3,150,65,25,20,31,1,45,11,95.3,169.0,65.7,49.6,2500,6,1,80,0,3.54,3.9,9.4,135,6000,16,23,15645
58,1,129,65,25,20,31,1,47,11,98.8,177.8,66.5,53.7,2385,3,2,122,2,3.39,3.39,8.6,84,4800,26,32,8845
59,0,115,65,25,20,30,0,47,11,98.8,177.8,66.5,55.5,2410,3,2,122,2,3.39,3.39,8.6,84,4800,26,32,8495
60,1,129,65,25,20,31,1,47,11,98.8,177.8,66.5,53.7,2385,3,2,122,2,3.39,3.39,8.6,84,4800,26,32,10595
61,0,115,65,25,20,30,0,47,11,98.8,177.8,66.5,55.5,2410,3,2,122,2,3.39,3.39,8.6,84,4800,26,32,10245
62,0,99,65,24,20,31,0,47,11,98.8,177.8,66.5,55.5,2443,3,2,122,1,3.39,3.39,22.7,64,4650,36,42,10795
63,0,115,65,25,20,30,1,47,11,98.8,177.8,66.5,55.5,2425,3,2,122,2,3.39,3.39,8.6,84,4800,26,32,11245
64,0,118,65,25,20,30,0,45,11,104.9,175.0,66.1,54.4,2670,3,2,140,0,3.76,3.16,8.0,120,5000,19,27,18280
65,0,99,65,24,20,30,0,45,11,104.9,175.0,66.1,54.4,2700,3,2,134,1,3.43,3.64,22.0,72,4200,31,39,18344
66,-1,93,64,24,21,30,0,45,11,110.0,190.9,70.3,56.5,3515,3,3,183,1,3.58,3.64,21.5,123,4350,22,25,25552
67,-1,93,64,24,21,30,3,45,11,110.0,190.9,70.3,58.7,3750,3,3,183,1,3.58,3.64,21.5,123,4350,22,25,28248
68,0,93,64,24,21,31,4,45,11,106.7,187.5,70.3,54.9,3495,3,3,183,1,3.58,3.64,21.5,123,4350,22,25,28176
69,-1,93,64,24,21,30,0,45,11,115.6,202.6,71.7,56.3,3770,3,3,183,1,3.58,3.64,21.5,123,4350,22,25,31600
70,-1,99,64,25,20,30,0,45,11,115.6,202.6,71.7,56.5,3740,5,5,234,0,3.46,3.1,8.3,155,4750,16,18,34184
71,3,142,64,25,20,31,2,45,11,96.6,180.3,70.5,50.8,3685,5,5,234,0,3.46,3.1,8.3,155,4750,16,18,35056
72,0,99,64,25,20,30,0,45,11,120.9,208.1,71.7,56.7,3900,5,5,308,0,3.8,3.35,8.0,184,4500,14,16,40960
73,1,99,64,25,20,31,4,45,11,112.0,199.2,72.0,55.4,3715,5,5,304,0,3.8,3.35,8.0,184,4500,14,16,45400
74,1,99,56,25,21,31,1,45,11,102.7,178.4,68.0,54.8,2910,3,2,140,0,3.78,3.12,8.0,175,5000,19,24,16503
75,2,161,63,25,20,31,1,47,11,93.7,157.3,64.4,50.8,1918,3,2,92,2,2.97,3.23,9.4,68,5500,37,41,5389
76,2,161,63,25,20,31,1,47,11,93.7,157.3,64.4,50.8,1944,3,2,92,2,2.97,3.23,9.4,68,5500,31,38,6189
77,2,161,63,25,20,31,1,47,11,93.7,157.3,64.4,50.8,2004,3,2,92,2,2.97,3.23,9.4,68,5500,31,38,6669
78,1,161,63,25,21,31,1,47,11,93.0,157.3,63.8,50.8,2145,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,7689
79,3,153,63,25,21,31,1,47,11,96.3,173.0,65.4,49.4,2370,3,2,110,5,3.17,3.46,7.5,116,5500,23,30,9959
80,3,153,63,25,20,31,1,47,11,96.3,173.0,65.4,49.4,2328,3,2,122,2,3.35,3.46,8.5,88,5000,25,32,8499
81,3,99,63,25,21,31,1,47,11,95.9,173.2,66.3,50.2,2833,3,2,156,5,3.58,3.86,7.0,145,5000,19,24,12629
82,3,99,63,25,21,31,1,47,11,95.9,173.2,66.3,50.2,2921,3,2,156,5,3.59,3.86,7.0,145,5000,19,24,14869
83,3,99,63,25,21,31,1,47,11,95.9,173.2,66.3,50.2,2926,3,2,156,5,3.59,3.86,7.0,145,5000,19,24,14489
84,1,125,63,25,20,30,0,47,11,96.3,172.4,65.4,51.6,2365,3,2,122,2,3.35,3.46,8.5,88,5000,25,32,6989
85,1,125,63,25,20,30,0,47,11,96.3,172.4,65.4,51.6,2405,3,2,122,2,3.35,3.46,8.5,88,5000,25,32,8189
86,1,125,63,25,21,30,0,47,11,96.3,172.4,65.4,51.6,2403,3,2,110,5,3.17,3.46,7.5,116,5500,23,30,9279
87,-1,137,63,25,20,30,0,47,11,96.3,172.4,65.4,51.6,2403,3,2,110,5,3.17,3.46,7.5,116,5500,23,30,9279
88,1,128,62,25,20,31,0,47,11,94.5,165.3,63.8,54.5,1889,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,5499
89,1,128,62,24,20,31,0,47,11,94.5,165.3,63.8,54.5,2017,3,2,103,1,2.99,3.47,21.9,55,4800,45,50,7099
90,1,128,62,25,20,31,0,47,11,94.5,165.3,63.8,54.5,1918,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,6649
91,1,122,62,25,20,30,0,47,11,94.5,165.3,63.8,54.5,1938,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,6849
92,1,103,62,25,20,30,3,47,11,94.5,170.2,63.8,53.5,2024,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,7349
93,1,128,62,25,20,31,0,47,11,94.5,165.3,63.8,54.5,1951,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,7299
94,1,128,62,25,20,31,1,47,11,94.5,165.6,63.8,53.3,2028,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,7799
95,1,122,62,25,20,30,0,47,11,94.5,165.3,63.8,54.5,1971,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,7499
96,1,103,62,25,20,30,3,47,11,94.5,170.2,63.8,53.5,2037,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,7999
97,2,168,62,25,20,31,4,47,11,95.1,162.4,63.8,53.3,2008,3,2,97,2,3.15,3.29,9.4,69,5200,31,37,8249
98,0,106,62,25,20,30,1,47,11,97.2,173.4,65.2,54.7,2324,3,2,120,2,3.33,3.47,8.5,97,5200,27,34,8949
99,0,106,62,25,20,30,0,47,11,97.2,173.4,65.2,54.7,2302,3,2,120,2,3.33,3.47,8.5,97,5200,27,34,9549
100,0,128,62,25,20,30,0,47,11,100.4,181.7,66.5,55.1,3095,5,4,181,0,3.43,3.27,9.0,152,5200,17,22,13499
101,0,108,62,25,20,30,3,47,11,100.4,184.6,66.5,56.1,3296,5,4,181,0,3.43,3.27,9.0,152,5200,17,22,14399
102,0,108,62,25,20,30,0,47,11,100.4,184.6,66.5,55.1,3060,5,4,181,0,3.43,3.27,9.0,152,5200,19,25,13499
103,3,194,62,25,20,31,1,45,11,91.3,170.7,67.9,49.7,3071,5,4,181,0,3.43,3.27,9.0,160,5200,19,25,17199
104,3,194,62,25,21,31,1,45,11,91.3,170.7,67.9,49.7,3139,5,4,181,0,3.43,3.27,7.8,200,5200,17,23,19699
105,1,231,62,25,20,31,1,45,11,99.2,178.5,67.9,49.7,3139,5,4,181,0,3.43,3.27,9.0,160,5200,19,25,18399
106,0,161,61,25,20,30,0,45,11,107.9,186.7,68.4,56.7,3020,2,2,120,0,3.46,3.19,8.4,97,5000,19,24,11900
107,0,161,61,24,21,30,0,45,11,107.9,186.7,68.4,56.7,3197,2,2,152,1,3.7,3.52,21.0,95,4150,28,33,13200
108,0,99,61,25,20,30,3,45,11,114.2,198.9,68.4,58.7,3230,2,2,120,0,3.46,3.19,8.4,97,5000,19,24,12440
109,0,99,61,24,21,30,3,45,11,114.2,198.9,68.4,58.7,3430,2,2,152,1,3.7,3.52,21.0,95,4150,25,25,13860
110,0,161,61,25,20,30,0,45,11,107.9,186.7,68.4,56.7,3075,2,2,120,0,3.46,2.19,8.4,95,5000,19,24,15580
111,0,161,61,24,21,30,0,45,11,107.9,186.7,68.4,56.7,3252,2,2,152,1,3.7,3.52,21.0,95,4150,28,33,16900
112,0,99,61,25,20,30,3,45,11,114.2,198.9,68.4,56.7,3285,2,2,120,0,3.46,2.19,8.4,95,5000,19,24,16695
113,0,99,61,24,21,30,3,45,11,114.2,198.9,68.4,58.7,3485,2,2,152,1,3.7,3.52,21.0,95,4150,25,25,17075
114,0,161,61,25,20,30,0,45,11,107.9,186.7,68.4,56.7,3075,2,2,120,0,3.46,3.19,8.4,97,5000,19,24,16630
115,0,161,61,24,21,30,0,45,11,107.9,186.7,68.4,56.7,3252,2,2,152,1,3.7,3.52,21.0,95,4150,28,33,17950
116,0,161,61,25,21,30,0,45,11,108.0,186.7,68.3,56.0,3130,2,2,134,0,3.61,3.21,7.0,142,5600,18,24,18150
117,1,119,60,25,20,31,1,47,11,93.7,157.3,63.8,50.8,1918,3,2,90,2,2.97,3.23,9.4,68,5500,37,41,5572
118,1,119,60,25,21,31,1,47,11,93.7,157.3,63.8,50.8,2128,3,2,98,5,3.03,3.39,7.6,102,5500,24,30,7957
119,1,154,60,25,20,30,1,47,11,93.7,157.3,63.8,50.6,1967,3,2,90,2,2.97,3.23,9.4,68,5500,31,38,6229
120,1,154,60,25,20,30,0,47,11,93.7,167.3,63.8,50.8,1989,3,2,90,2,2.97,3.23,9.4,68,5500,31,38,6692
121,1,154,60,25,20,30,0,47,11,93.7,167.3,63.8,50.8,2191,3,2,98,2,2.97,3.23,9.4,68,5500,31,38,7609
122,-1,74,60,25,20,30,3,47,11,103.3,174.6,64.6,59.8,2535,3,2,122,2,3.35,3.46,8.5,88,5000,24,30,8921
123,3,99,60,25,21,31,1,45,11,95.9,173.2,66.3,50.2,2818,3,2,156,5,3.59,3.86,7.0,145,5000,19,24,12764
124,3,186,59,25,20,31,1,45,11,94.5,168.9,68.3,50.2,2778,3,2,151,0,3.94,3.11,9.5,143,5500,19,27,22018
125,3,99,59,25,20,31,4,45,12,89.5,168.9,65.0,51.6,2756,4,4,194,0,3.74,2.9,9.5,207,5900,17,25,32528
126,3,99,59,25,20,31,4,45,12,89.5,168.9,65.0,51.6,2756,4,4,194,0,3.74,2.9,9.5,207,5900,17,25,34028
127,3,99,59,25,20,31,2,45,12,89.5,168.9,65.0,51.6,2800,4,4,194,0,3.74,2.9,9.5,207,5900,17,25,37028
128,1,99,59,25,20,31,1,45,11,98.4,175.7,72.3,50.5,3366,1,5,203,0,3.94,3.11,10.0,288,5750,17,28,30000
129,0,99,58,25,20,30,3,47,11,96.1,181.5,66.5,55.2,2579,3,2,132,0,3.46,3.9,8.7,123,5500,23,31,9295
130,2,99,58,25,20,31,1,47,11,96.1,176.8,66.6,50.5,2460,3,2,132,0,3.46,3.9,8.7,123,5500,23,31,9895
131,3,150,55,25,20,31,1,47,11,99.1,186.6,66.5,56.1,2658,3,2,121,0,3.54,3.07,9.31,110,5250,21,28,11850
132,2,104,55,25,20,30,0,47,11,99.1,186.6,66.5,56.1,2695,3,2,121,0,3.54,3.07,9.3,110,5250,21,28,12170
133,3,150,55,25,20,31,1,47,11,99.1,186.6,66.5,56.1,2707,3,2,121,0,2.54,2.07,9.3,110,5250,21,28,15040
134,2,104,55,25,20,30,0,47,11,99.1,186.6,66.5,56.1,2758,3,2,121,0,3.54,3.07,9.3,110,5250,21,28,15510
135,3,150,55,25,21,31,1,47,11,99.1,186.6,66.5,56.1,2808,0,2,121,0,3.54,3.07,9.0,160,5500,19,26,18150
136,2,104,55,25,21,30,0,47,11,99.1,186.6,66.5,56.1,2847,0,2,121,0,3.54,3.07,9.0,160,5500,19,26,18620
137,2,83,53,25,20,31,1,47,11,93.7,156.9,63.4,53.7,2050,4,2,97,2,3.62,2.36,9.0,69,4900,31,36,5118
138,2,83,53,25,20,31,1,47,11,93.7,157.9,63.6,53.7,2120,4,2,108,2,3.62,2.64,8.7,73,4400,26,31,7053
139,2,83,53,25,20,31,1,46,11,93.3,157.3,63.8,55.7,2240,4,2,108,2,3.62,2.64,8.7,73,4400,26,31,7603
140,0,102,53,25,20,30,0,47,11,97.2,172.0,65.4,52.5,2145,4,2,108,2,3.62,2.64,9.5,82,4800,32,37,7126
141,0,102,53,25,20,30,0,47,11,97.2,172.0,65.4,52.5,2190,4,2,108,2,3.62,2.64,9.5,82,4400,28,33,7775
142,0,102,53,25,20,30,0,47,11,97.2,172.0,65.4,52.5,2340,4,2,108,0,3.62,2.64,9.0,94,5200,26,32,9960
143,0,102,53,25,20,30,0,46,11,97.0,172.0,65.4,54.3,2385,4,2,108,2,3.62,2.64,9.0,82,4800,24,25,9233
144,0,102,53,25,21,30,0,46,11,97.0,172.0,65.4,54.3,2510,4,2,108,0,3.62,2.64,7.7,111,4800,24,29,11259
145,0,89,53,25,20,30,3,47,11,97.0,173.5,65.4,53.0,2290,4,2,108,2,3.62,2.64,9.0,82,4800,28,32,7463
146,0,89,53,25,20,30,3,47,11,97.0,173.5,65.4,53.0,2455,4,2,108,0,3.62,2.64,9.0,94,5200,25,31,10198
147,0,85,53,25,20,30,3,46,11,96.9,173.6,65.4,54.9,2420,4,2,108,2,3.62,2.64,9.0,82,4800,23,29,8013
148,0,85,53,25,21,30,3,46,11,96.9,173.6,65.4,54.9,2650,4,2,108,0,3.62,2.64,7.7,111,4800,23,23,11694
149,1,87,53,25,20,31,1,47,11,95.7,158.7,63.6,54.5,1985,3,2,92,2,3.05,3.03,9.0,62,4800,35,39,5348
150,1,87,54,25,20,31,1,47,11,95.7,158.7,63.6,54.5,2040,3,2,92,2,3.05,3.03,9.0,62,4800,31,38,6338
151,1,74,54,25,20,30,1,47,11,95.7,158.7,63.6,54.5,2015,3,2,92,2,3.05,3.03,9.0,62,4800,31,38,6488
152,0,77,54,25,20,30,3,47,11,95.7,169.7,63.6,59.1,2280,3,2,92,2,3.05,3.03,9.0,62,4800,31,37,6918
153,0,81,54,25,20,30,3,46,11,95.7,169.7,63.6,59.1,2290,3,2,92,2,3.05,3.03,9.0,62,4800,27,32,7898
154,0,91,54,25,20,30,3,46,11,95.7,169.7,63.6,59.1,3110,3,2,92,2,3.05,3.03,9.0,62,4800,27,32,8778
155,0,91,54,25,20,30,0,47,11,95.7,166.3,64.4,53.0,2081,3,2,98,2,3.19,3.03,9.0,70,4800,30,37,6938
156,0,91,54,25,20,30,1,47,11,95.7,166.3,64.4,52.8,2109,3,2,98,2,3.19,3.03,9.0,70,4800,30,37,7198
157,0,91,54,24,20,30,0,47,11,95.7,166.3,64.4,53.0,2275,3,2,110,1,3.27,3.35,22.5,56,4500,34,36,7898
158,0,91,54,24,20,30,1,47,11,95.7,166.3,64.4,52.8,2275,3,2,110,1,3.27,3.35,22.5,56,4500,38,47,7788
159,0,91,54,25,20,30,0,47,11,95.7,166.3,64.4,53.0,2094,3,2,98,2,3.19,3.03,9.0,70,4800,38,47,7738
160,0,91,54,25,20,30,1,47,11,95.7,166.3,64.4,52.8,2122,3,2,98,2,3.19,3.03,9.0,70,4800,28,34,8358
161,0,91,54,25,20,30,0,47,11,95.7,166.3,64.4,52.8,2140,3,2,98,2,3.19,3.03,9.0,70,4800,28,34,9258
162,1,168,54,25,20,31,0,45,11,94.5,168.7,64.0,52.6,2169,3,2,98,2,3.19,3.03,9.0,70,4800,29,34,8058
163,1,168,54,25,20,31,1,45,11,94.5,168.7,64.0,52.6,2204,3,2,98,2,3.19,3.03,9.0,70,4800,29,34,8238
164,1,168,54,25,20,31,0,45,11,94.5,168.7,64.0,52.6,2265,0,2,98,0,3.24,3.08,9.4,112,6600,26,29,9298
165,1,168,54,25,20,31,1,45,11,94.5,168.7,64.0,52.6,2300,0,2,98,0,3.24,3.08,9.4,112,6600,26,29,9538
166,2,134,54,25,20,31,4,45,11,98.4,176.2,65.6,52.0,2540,3,2,146,0,3.62,3.5,9.3,116,4800,24,30,8449
167,2,134,54,25,20,31,4,45,11,98.4,176.2,65.6,52.0,2536,3,2,146,0,3.62,3.5,9.3,116,4800,24,30,9639
168,2,134,54,25,20,31,1,45,11,98.4,176.2,65.6,52.0,2551,3,2,146,0,3.62,3.5,9.3,116,4800,24,30,9989
169,2,134,54,25,20,31,4,45,11,98.4,176.2,65.6,52.0,2679,3,2,146,0,3.62,3.5,9.3,116,4800,24,30,11199
170,2,134,54,25,20,31,1,45,11,98.4,176.2,65.6,52.0,2714,3,2,146,0,3.62,3.5,9.3,116,4800,24,30,11549
171,2,134,54,25,20,31,2,45,11,98.4,176.2,65.6,53.0,2975,3,2,146,0,3.62,3.5,9.3,116,4800,24,30,17669
172,-1,65,54,25,20,30,0,47,11,102.4,175.6,66.5,54.9,2326,3,2,122,0,3.31,3.54,8.7,92,4200,29,34,8948
173,-1,65,54,24,21,30,0,47,11,102.4,175.6,66.5,54.9,2480,3,2,110,1,3.27,3.35,22.5,73,4500,30,33,10698
174,-1,65,54,25,20,30,1,47,11,102.4,175.6,66.5,53.9,2414,3,2,122,0,3.31,3.54,8.7,92,4200,27,32,9988
175,-1,65,54,25,20,30,0,47,11,102.4,175.6,66.5,54.9,2414,3,2,122,0,3.31,3.54,8.7,92,4200,27,32,10898
176,-1,65,54,25,20,30,1,47,11,102.4,175.6,66.5,53.9,2458,3,2,122,0,3.31,3.54,8.7,92,4200,27,32,11248
177,3,197,54,25,20,31,1,45,11,102.9,183.5,67.7,52.0,2976,0,4,171,0,3.27,3.35,9.3,161,5200,20,24,16558
178,3,197,54,25,20,31,1,45,11,102.9,183.5,67.7,52.0,3016,0,4,171,0,3.27,3.35,9.3,161,5200,19,24,15998
179,-1,90,54,25,20,30,0,45,11,104.5,187.8,66.5,54.1,3131,0,4,171,0,3.27,3.35,9.2,156,5200,20,24,15690
180,-1,99,54,25,20,30,3,45,11,104.5,187.8,66.5,54.1,3151,0,4,161,0,3.27,3.35,9.2,156,5200,19,24,15750
181,2,122,57,24,20,31,0,47,11,97.3,171.7,65.5,55.7,2261,3,2,97,1,3.01,3.4,23.0,52,4800,37,46,7775
182,2,122,57,25,20,31,0,47,11,97.3,171.7,65.5,55.7,2209,3,2,109,0,3.19,3.4,9.0,85,5250,27,34,7975
183,2,94,57,24,20,30,0,47,11,97.3,171.7,65.5,55.7,2264,3,2,97,1,3.01,3.4,23.0,52,4800,37,46,7995
184,2,94,57,25,20,30,0,47,11,97.3,171.7,65.5,55.7,2212,3,2,109,0,3.19,3.4,9.0,85,5250,27,34,8195
185,2,94,57,25,20,30,0,47,11,97.3,171.7,65.5,55.7,2275,3,2,109,0,3.19,3.4,9.0,85,5250,27,34,8495
186,2,94,57,24,21,30,0,47,11,97.3,171.7,65.5,55.7,2319,3,2,97,1,3.01,3.4,23.0,68,4500,37,42,9495
187,2,94,57,25,20,30,0,47,11,97.3,171.7,65.5,55.7,2300,3,2,109,0,3.19,3.4,10.0,100,5500,26,32,9995
188,3,99,57,25,20,31,2,47,11,94.5,159.3,64.2,55.6,2254,3,2,109,0,3.19,3.4,8.5,90,5500,24,29,11595
189,3,256,57,25,20,31,1,47,11,94.5,165.7,64.0,51.4,2221,3,2,109,0,3.19,3.4,8.5,90,5500,24,29,9980
190,0,99,57,25,20,30,0,47,11,100.4,180.2,66.9,55.1,2661,3,3,136,0,3.19,3.4,8.5,110,5500,19,24,13295
191,0,99,57,24,21,30,0,47,11,100.4,180.2,66.9,55.1,2579,3,2,97,1,3.01,3.4,23.0,68,4500,33,38,13845
192,0,99,57,25,20,30,3,47,11,100.4,183.1,66.9,55.1,2563,3,2,109,0,3.19,3.4,9.0,88,5500,25,31,12290
